level,word,meaning_ja,Part_of_Speech,category,pronunciation,example_en,example_ja
5級,be,〜である,動詞,be動詞,/biː/,I want to be a teacher.,私は先生になりたいです。
5級,do,する,動詞,基本動詞,/duː/,I do my homework.,私は宿題をします。
5級,go,行く,動詞,基本動詞,/ɡoʊ/,I go to school.,私は学校に行きます。
5級,come,来る,動詞,基本動詞,/kʌm/,Come to my house.,私の家に来てください。
5級,have,持っている,動詞,基本動詞,/hæv/,I have a dog.,私は犬を飼っています。
5級,like,好き,動詞,基本動詞,/laɪk/,I like music.,私は音楽が好きです。
5級,want,欲しい,動詞,基本動詞,/wɑːnt/,I want an apple.,りんごが欲しいです。
5級,play,遊ぶ・する,動詞,基本動詞,/pleɪ/,I play tennis.,私はテニスをします。
5級,study,勉強する,動詞,基本動詞,/ˈstʌdi/,I study math.,私は算数を勉強します。
5級,speak,話す,動詞,基本動詞,/spiːk/,I speak English.,私は英語を話します。
5級,read,読む,動詞,基本動詞,/riːd/,I read books.,私は本を読みます。
5級,write,書く,動詞,基本動詞,/raɪt/,Write your name.,名前を書いてください。
5級,eat,食べる,動詞,基本動詞,/iːt/,I eat lunch.,私は昼食を食べます。
5級,drink,飲む,動詞,基本動詞,/drɪŋk/,I drink milk.,私は牛乳を飲みます。
5級,see,見る・会う,動詞,基本動詞,/siː/,I see a bird.,鳥が見えます。
5級,watch,じっと見る,動詞,基本動詞,/wɑːtʃ/,I watch TV.,私はテレビを見ます。
5級,listen,聞く,動詞,基本動詞,/ˈlɪsən/,Listen to me.,私の話を聞いてください。
5級,help,助ける,動詞,基本動詞,/help/,I help my mother.,私は母を手伝います。
5級,make,作る,動詞,基本動詞,/meɪk/,I make dinner.,私は夕食を作ります。
5級,buy,買う,動詞,基本動詞,/baɪ/,I buy a pen.,私はペンを買います。
5級,know,知っている,動詞,基本動詞,/noʊ/,I know him.,私は彼を知っています。
5級,think,思う,動詞,基本動詞,/θɪnk/,I think so.,私はそう思います。
5級,use,使う,動詞,基本動詞,/juːz/,I use this computer.,私はこのコンピュータを使います。
5級,take,取る・連れて行く,動詞,基本動詞,/teɪk/,I take a picture.,写真を撮ります。
5級,get,手に入れる,動詞,基本動詞,/ɡet/,I get a present.,プレゼントをもらいます。
5級,say,言う,動詞,基本動詞,/seɪ/,Say hello.,こんにちはと言いなさい。
5級,tell,伝える,動詞,基本動詞,/tel/,Tell me the story.,その話を教えて。
5級,teach,教える,動詞,基本動詞,/tiːtʃ/,He teaches English.,彼は英語を教えます。
5級,learn,学ぶ,動詞,基本動詞,/lɜːrn/,I learn piano.,私はピアノを習っています。
5級,start,始める,動詞,基本動詞,/stɑːrt/,The game starts at ten.,試合は10時に始まります。
5級,morning,朝,名詞,時間,/ˈmɔːrnɪŋ/,Good morning.,おはよう。
5級,afternoon,午後,名詞,時間,/ˌæftərˈnuːn/,In the afternoon.,午後に。
5級,evening,夕方,名詞,時間,/ˈiːvnɪŋ/,In the evening.,夕方に。
5級,night,夜,名詞,時間,/naɪt/,Good night.,おやすみなさい。
5級,today,今日,名詞・副詞,時間,/təˈdeɪ/,It is sunny today.,今日は晴れです。
5級,tomorrow,明日,名詞・副詞,時間,/təˈmɔːroʊ/,See you tomorrow.,また明日。
5級,week,週,名詞,時間,/wiːk/,Every week.,毎週。
5級,year,年,名詞,時間,/jɪər/,New Year.,新年。
5級,time,時間,名詞,時間,/taɪm/,What time is it?,何時ですか？
5級,father,父,名詞,家族,/ˈfɑːðər/,My father is tall.,父は背が高い。
5級,mother,母,名詞,家族,/ˈmʌðər/,My mother is kind.,母は親切です。
5級,brother,兄・弟,名詞,家族,/ˈbrʌðər/,I have a brother.,私には兄弟がいます。
5級,sister,姉・妹,名詞,家族,/ˈsɪstər/,My sister is cute.,私の妹はかわいい。
5級,friend,友達,名詞,人,/frend/,He is my friend.,彼は私の友達です。
5級,teacher,先生,名詞,人,/ˈtiːtʃər/,She is a teacher.,彼女は先生です。
5級,student,生徒,名詞,人,/ˈstuːdənt/,I am a student.,私は学生です。
5級,school,学校,名詞,場所・建物,/skuːl/,I go to school.,私は学校に行きます。
5級,class,授業・クラス,名詞,場所・建物,/klæs/,English class.,英語の授業。
5級,homework,宿題,名詞,学校関連,/ˈhoʊmwɜːrk/,Do your homework.,宿題をしなさい。
5級,book,本,名詞,文房具・物,/bʊk/,Read this book.,この本を読みなさい。
5級,pen,ペン,名詞,文房具・物,/pen/,Use this pen.,このペンを使って。
5級,bag,かばん,名詞,文房具・物,/bæɡ/,In my bag.,私のかばんの中に。
5級,desk,机,名詞,文房具・物,/desk/,On the desk.,机の上に。
5級,chair,椅子,名詞,文房具・物,/tʃer/,Sit on the chair.,椅子に座って。
5級,house,家,名詞,場所・建物,/haʊs/,My house is big.,私の家は大きいです。
5級,room,部屋,名詞,場所・建物,/room/,My room is clean.,私の部屋はきれいです。
5級,park,公園,名詞,場所・建物,/pɑːrk/,Go to the park.,公園へ行く。
5級,station,駅,名詞,場所・建物,/ˈsteɪʃən/,At the station.,駅で。
5級,shop,店,名詞,場所・建物,/ʃɑːp/,A toy shop.,おもちゃ屋。
5級,food,食べ物,名詞,食べ物・飲み物,/fuːd/,I like Japanese food.,私は日本食が好きです。
5級,water,水,名詞,食べ物・飲み物,/ˈwɔːtər/,Drink water.,水を飲んで。
5級,breakfast,朝食,名詞,食べ物・飲み物,/ˈbrekfəst/,Eat breakfast.,朝食を食べる。
5級,lunch,昼食,名詞,食べ物・飲み物,/lʌntʃ/,Lunch time.,昼食の時間。
5級,dinner,夕食,名詞,食べ物・飲み物,/ˈdɪnər/,Make dinner.,夕食を作る。
5級,soccer,サッカー,名詞,スポーツ・楽器,/ˈsɑːkər/,Play soccer.,サッカーをする。
5級,tennis,テニス,名詞,スポーツ・楽器,/ˈtenɪs/,Play tennis.,テニスをする。
5級,piano,ピアノ,名詞,スポーツ・楽器,/piˈænoʊ/,Play the piano.,ピアノを弾く。
5級,guitar,ギター,名詞,スポーツ・楽器,/ɡɪˈtɑːr/,Play the guitar.,ギターを弾く。
5級,song,歌,名詞,スポーツ・楽器,/sɔːŋ/,Sing a song.,歌を歌う。
5級,big,大きい,形容詞,様子・程度,/bɪɡ/,A big tree.,大きな木。
5級,small,小さい,形容詞,様子・程度,/smɔːl/,A small bird.,小さな鳥。
5級,new,新しい,形容詞,様子・程度,/nuː/,New shoes.,新しい靴。
5級,old,古い,形容詞,様子・程度,/oʊld/,Old books.,古い本。
5級,long,長い,形容詞,様子・程度,/lɔːŋ/,A long pencil.,長い鉛筆。
5級,short,短い,形容詞,様子・程度,/ʃɔːrt/,A short hair.,短い髪。
5級,tall,背が高い,形容詞,様子・程度,/tɔːl/,A tall boy.,背の高い男の子。
5級,high,高い,形容詞,様子・程度,/haɪ/,A high mountain.,高い山。
5級,hot,暑い,形容詞,様子・程度,/hɑːt/,It is hot.,暑いです。
5級,cold,寒い,形容詞,様子・程度,/koʊld/,It is cold.,寒いです。
