level,word,meaning_ja,Part_of_Speech,category,pronunciation,example_en,example_ja
準2級,accept,受け入れる,動詞,日常・基本,/əkˈsɛpt/,I accept your apology.,私はあなたの謝罪を受け入れます。
準2級,advice,助言,名詞,日常・基本,/ədˈvaɪs/,She gave me some good advice.,彼女は私に良い助言をくれました。
準2級,animal,動物,名詞,自然・社会,/ˈænɪməl/,The animal is very cute.,その動物はとても可愛いです。
準2級,arrive,到着する,動詞,日常・基本,/əˈraɪv/,We will arrive at 5 PM.,私たちは午後5時に到着します。
準2級,become,なる,動詞,日常・基本,/bɪˈkʌm/,He wants to become a doctor.,彼は医者になりたいです。
準2級,before,前に,前置詞,日常・基本,/bɪˈfɔːr/,Finish your homework before dinner.,夕食の前に宿題を終わらせてください。
準2級,begin,始める,動詞,日常・基本,/bɪˈɡɪn/,Let's begin the meeting.,会議を始めましょう。
準2級,believe,信じる,動詞,思考・感情,/bɪˈliːv/,I believe in you.,私はあなたを信じています。
準2級,build,建てる,動詞,日常・基本,/bɪld/,They will build a new school.,彼らは新しい学校を建てるでしょう。
準2級,careful,注意深い,形容詞,様子・程度,/ˈkɛrfəl/,Be careful when crossing the street.,道路を渡るときは注意してください。
準2級,change,変える・変化,動詞・名詞,日常・基本,/tʃeɪndʒ/,I need to change my clothes.,私は服を変える必要があります。
準2級,choose,選ぶ,動詞,日常・基本,/tʃuːz/,Please choose a book to read.,読む本を選んでください。
準2級,clean,掃除する・きれいな,動詞・形容詞,日常・基本,/kliːn/,Please clean your room.,自分の部屋を掃除してください。
準2級,climb,登る,動詞,自然・社会,/klaɪm/,We will climb the mountain.,私たちはその山に登ります。
準2級,come,来る,動詞,日常・基本,/kʌm/,Can you come to my party?,私のパーティーに来てくれますか？
準2級,common,一般的な,形容詞,日常・基本,/ˈkɒmən/,This is a common problem.,これは一般的な問題です。
準2級,decide,決める,動詞,思考・感情,/dɪˈsaɪd/,I need to decide what to wear.,私は何を着るか決める必要があります。
準2級,describe,説明する,動詞,思考・感情,/dɪˈskraɪb/,Can you describe the picture?,その絵を説明できますか？
準2級,different,異なる,形容詞,抽象概念,/ˈdɪfərənt/,They have different opinions.,彼らは異なる意見を持っています。
準2級,difficult,難しい,形容詞,様子・程度,/ˈdɪfɪkəlt/,This exam is very difficult.,この試験はとても難しいです。
準2級,discover,発見する,動詞,思考・感情,/dɪsˈkʌvər/,I want to discover new things.,私は新しいことを発見したいです。
準2級,enjoy,楽しむ,動詞,思考・感情,/ɪnˈdʒɔɪ/,I enjoy reading books.,私は本を読むのが好きです。
準2級,example,例,名詞,日常・基本,/ɪɡˈzæmpl/,This is a good example.,これは良い例です。
準2級,family,家族,名詞,自然・社会,/ˈfæmili/,I love my family.,私は家族が大好きです。
準2級,follow,従う,動詞,日常・基本,/ˈfɒloʊ/,Please follow the instructions.,指示に従ってください。
準2級,forget,忘れる,動詞,思考・感情,/fərˈɡɛt/,Don't forget to call me.,私に電話するのを忘れないでください。
準2級,friend,友達,名詞,自然・社会,/frɛnd/,She is my best friend.,彼女は私の親友です。
準2級,give,与える,動詞,日常・基本,/ɡɪv/,I want to give you a gift.,私はあなたにプレゼントをあげたいです。
準2級,healthy,健康的な,形容詞,日常・基本,/ˈhɛlθi/,Eating fruits is healthy.,果物を食べることは健康的です。
準2級,help,助ける,動詞,日常・基本,/hɛlp/,Can you help me with this?,これを手伝ってくれますか？
準2級,important,重要な,形容詞,抽象概念,/ɪmˈpɔːrtənt/,This is an important decision.,これは重要な決定です。
準2級,know,知る,動詞,思考・感情,/noʊ/,I know the answer.,私は答えを知っています。
準2級,learn,学ぶ,動詞,日常・基本,/lɜrn/,I want to learn English.,私は英語を学びたいです。
準2級,like,好き,動詞,思考・感情,/laɪk/,I like chocolate.,私はチョコレートが好きです。
準2級,listen,聞く,動詞,日常・基本,/ˈlɪsən/,I like to listen to music.,私は音楽を聞くのが好きです。
準2級,live,住む・生きる,動詞,日常・基本,/lɪv/,I live in Tokyo.,私は東京に住んでいます。
準2級,make,作る,動詞,日常・基本,/meɪk/,I will make a cake.,私はケーキを作ります。
準2級,need,必要とする,動詞,日常・基本,/niːd/,I need some help.,私はいくつかの助けが必要です。
準2級,new,新しい,形容詞,日常・基本,/nuː/,I bought a new car.,私は新しい車を買いました。
準2級,open,開く,動詞・形容詞,日常・基本,/ˈoʊpən/,Please open the window.,窓を開けてください。
準2級,play,遊ぶ・演じる,動詞,日常・基本,/pleɪ/,The children play in the park.,子供たちは公園で遊びます。
準2級,read,読む,動詞,日常・基本,/riːd/,I like to read books.,私は本を読むのが好きです。
準2級,remember,思い出す,動詞,思考・感情,/rɪˈmɛmbər/,I can't remember his name.,私は彼の名前を思い出せません。
準2級,see,見る,動詞,日常・基本,/siː/,I see the stars at night.,私は夜に星を見る。
準2級,share,共有する,動詞,日常・基本,/ʃɛr/,I want to share my story.,私は自分の話を共有したいです。
準2級,show,見せる,動詞,日常・基本,/ʃoʊ/,Can you show me the way?,道を教えてくれますか？
準2級,speak,話す,動詞,日常・基本,/spiːk/,I can speak English.,私は英語を話すことができます。
準2級,spend,費やす,動詞,日常・基本,/spɛnd/,I will spend the day at home.,私は家で一日を過ごします。
準2級,take,取る,動詞,日常・基本,/teɪk/,Please take this book.,この本を取ってください。
準2級,think,考える,動詞,思考・感情,/θɪŋk/,I think it's a good idea.,私はそれが良いアイデアだと思います。
準2級,understand,理解する,動詞,思考・感情,/ˌʌndərˈstænd/,I understand what you mean.,私はあなたが言っていることを理解しています。
準2級,visit,訪れる,動詞,日常・基本,/ˈvɪzɪt/,I will visit my grandparents.,私は祖父母を訪れます。
準2級,wait,待つ,動詞,日常・基本,/weɪt/,Please wait for me.,私を待ってください。
準2級,want,欲しい,動詞,思考・感情,/wɒnt/,I want to go home.,私は家に帰りたいです。
準2級,work,働く・仕事,動詞・名詞,ビジネス,/wɜrk/,I work at a restaurant.,私はレストランで働いています。
準2級,achieve,達成する,動詞,思考・感情,/əˈtʃiːv/,She worked hard to achieve her goals.,彼女は目標を達成するために一生懸命働いた。
準2級,adventure,冒険,名詞,日常・基本,/ədˈvɛn.tʃər/,They went on an adventure in the mountains.,彼らは山で冒険に出かけた。
準2級,borrow,借りる,動詞,日常・基本,/ˈbɔːr.oʊ/,Can I borrow your pen for a moment?,ちょっとあなたのペンを借りてもいいですか？
準2級,calm,穏やかな・落ち着いた,形容詞,様子・程度,/kɑːm/,She has a calm personality.,彼女は穏やかな性格を持っている。
準2級,celebrate,祝う,動詞,日常・基本,/ˈsɛl.ə.breɪt/,We celebrate our anniversary every year.,私たちは毎年結婚記念日を祝う。
準2級,compare,比較する,動詞,思考・感情,/kəmˈpɛr/,Let's compare our answers after the test.,テストの後、私たちの答えを比較しましょう。
準2級,create,作る,動詞,日常・基本,/kriˈeɪt/,He wants to create a new app.,彼は新しいアプリを作りたい。
準2級,develop,発展させる・開発する,動詞,ビジネス,/dɪˈvɛl.əp/,They plan to develop a new product.,彼らは新しい製品を開発する予定です。
準2級,discover,発見する,動詞,自然・社会,/dɪsˈkʌv.ər/,She hopes to discover a new species.,彼女は新しい種を発見したいと考えている。
準2級,encourage,励ます,動詞,思考・感情,/ɪnˈkɜːr.ɪdʒ/,Teachers encourage students to ask questions.,教師は生徒に質問をするように励ます。
準2級,experience,経験・体験,名詞,日常・基本,/ɪkˈspɪr.i.əns/,Traveling can be a great experience.,旅行は素晴らしい経験になることがある。
準2級,famous,有名な,形容詞,文化,/ˈfeɪ.məs/,Tokyo is famous for its food.,東京は食べ物で有名です。
準2級,future,未来,名詞,抽象概念,/ˈfjuː.tʃər/,I want to travel the world in the future.,私は将来、世界を旅行したい。
準2級,improve,改善する,動詞,思考・感情,/ɪmˈpruːv/,She wants to improve her English skills.,彼女は英語のスキルを改善したい。
準2級,introduce,紹介する,動詞,日常・基本,/ˌɪn.trəˈdjuːs/,Let me introduce you to my friend.,私の友達を紹介させてください。
準2級,journey,旅行・旅,名詞,自然・社会,/ˈdʒɜːr.ni/,The journey was long but enjoyable.,その旅は長かったが楽しかった。
準2級,manage,管理する・うまくやる,動詞,ビジネス,/ˈmæn.ɪdʒ/,He can manage his time well.,彼は自分の時間をうまく管理できる。
準2級,mention,言及する,動詞,思考・感情,/ˈmɛn.ʃən/,Did you mention the meeting to her?,その会議について彼女に言及しましたか？
準2級,mystery,謎,名詞,抽象概念,/ˈmɪs.tər.i/,The book is full of mystery.,その本は謎に満ちている。
準2級,opportunity,機会,名詞,ビジネス,/ˌɒp.əˈtjuː.nə.ti/,This is a great opportunity for you.,これはあなたにとって素晴らしい機会です。
準2級,perform,演じる・行う,動詞,文化,/pərˈfɔːrm/,She will perform at the concert.,彼女はコンサートで演じる。
準2級,prepare,準備する,動詞,日常・基本,/prɪˈpɛr/,I need to prepare for the exam.,私は試験の準備をする必要がある。
準2級,produce,生産する,動詞,ビジネス,/prəˈdjuːs/,They produce high-quality products.,彼らは高品質の製品を生産している。
